as_of_date,security_code,security_name,quantity,average_cost,currency,market_value,target_weight,notes
2026-08-10,601398.SH,工商银行,100,7.50,CNY,,0.098,用户报告成交；已移除账户和订单标识；费用未知
2026-08-10,513500.SH,博时标普500ETF,300,2.704,CNY,,0.236,用户报告成交；已移除账户和订单标识；费用未知
